ticker,name,close,ma30w,volume_ratio,mansfield_rs,industry
005160,동국산업,3455.0,2817.3333333333335,571.0735752373721,40.98779764975915,1차 철강 제조업
042370,비츠로테크,11630.0,11245.666666666666,72.1150935829039,31.950722585378767,기타 금융업
229640,LS에코에너지,60300.0,54766.666666666664,13.608722280264498,2.6268148933208835,기타 금융업
456010,아이씨티케이,22350.0,18762.333333333332,7.560185149097887,47.90630089274168,반도체 제조업
053800,안랩,67300.0,59800.0,7.463230966150626,28.637862425065652,소프트웨어 개발 및 공급업
437730,삼현,51000.0,45193.333333333336,5.59722332586487,35.03231515231868,자동차 신품 부품 제조업
441270,파인엠텍,9040.0,8877.0,5.193048304135639,13.68787276585759,전자부품 제조업
484120,도우인시스,22800.0,19309.0,4.814312834539316,19.185003753283645,전자부품 제조업
056190,SFA,28150.0,26610.0,4.784734847680964,26.46071630473159,특수 목적용 기계 제조업
030530,원익홀딩스,26300.0,25550.333333333332,4.710455992087109,11.567914522056878,기초 화학물질 제조업
033640,네패스,26700.0,24417.0,3.6175904136716084,47.27732515349188,반도체 제조업
199430,케이엔알시스템,18940.0,18830.666666666668,3.4293716996765373,2.758130807683168,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
036030,케이티알파,4980.0,4742.5,3.1559208975677313,14.288339852220844,상품 중개업
000150,두산,1449000.0,1378866.6666666667,2.9348518078470756,7.088675340025707,전자부품 제조업
045100,한양이엔지,31800.0,31393.333333333332,2.4107509295036467,33.29000524684906,"건축기술, 엔지니어링 및 관련 기술 서비스업"
290550,디케이티,21250.0,20799.333333333332,2.2036392907490754,61.63664401074171,전자부품 제조업
013030,하이록코리아,36650.0,36155.0,2.089038050477072,21.0137779960877,1차 철강 제조업
000990,DB하이텍,125900.0,121166.66666666667,2.0669840436567943,7.441813236042671,반도체 제조업
